Tipo fila;Hito;Elemento;Codigo;Descripcion de la prueba;Estado;Fecha fin;Fecha negocio;Observaciones
DESARROLLO;SPRINT 3;FE-4.1;Babooni;Reutilizar pantallas Perfil Usuario Inicio Registro jornada Mi perfil y Ayuda para RLPT;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;FE-4.1;Negocio;CU-07 - Dado RLPT autenticado cuando navega pantallas Usuario Fase I entonces Inicio Registro jornada Mi perfil y Ayuda operan correctamente.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;FE-4.2;Integrar modulo Informes en menu RLPT;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;FE-4.2;Babooni;Integrar modulo Informes FE-1 en menu RLPT con permisos y ruta;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;FE-4.2;Negocio;CA-22 - Dado RLPT autenticado cuando accede a Informes entonces datos reales nombre visible plantilla completa.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;QA-5.1;Suite pruebas anti-fuga anonimizacion vistas y CSV;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;QA-5.1;Babooni;Pruebas anti-fuga anonimizacion: no nombre/apellidos en vistas ni exportaciones CSV Inspector;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;QA-5.1;Tecnologia;Suite QA: verificacion automatizada anti-fuga anonimizacion en listado ficha y export CSV Inspector (cobertura CA-13/14/23).;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;QA-5.1;Tecnologia;Inspeccion JSON/API: ningun campo nombre o apellidos en respuestas de usuarios anonimizados.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;QA-5.2;Pruebas control acceso por rol y por empresa;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;QA-5.2;Babooni;Pruebas control acceso: rol solo lectura no puede mutar via API; externos limitados a ambito empresa;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;QA-5.2;Tecnologia;Tests API: rol Inspector y simulacion Superadmin reciben 403 en endpoints mutantes (cobertura CA-10/20).;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;QA-5.2;Tecnologia;Tests acceso: usuario sin rol Admin no accede a Accesos externos ni Informes sin permiso (CA-17/22).;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;QA-5.3;Pruebas 3 formatos CSV y regla no-generacion golden dataset;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;QA-5.3;Babooni;Pruebas 3 formatos CSV tabla/simple/detallado regla no-generacion y golden CSV con dataset UAT;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;QA-5.3;Tecnologia;Golden CSV: comparacion automatica de 3 formatos contra dataset UAT D26 (cobertura CA-07/08/09).;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;QA-5.3;Tecnologia;Test regla no-generacion: 0 registros no produce archivo CSV y respuesta correcta para toast.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;QA-5.4;Pruebas KPIs Inspector vs planificacion y dataset UAT;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;QA-5.4;Babooni;Pruebas KPIs Inspector Sin registro Correcto Incompleto frente a dataset UAT D09;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;QA-5.4;Tecnologia;Tests KPIs Inspector: estados Sin registro/Correcto/Incompleto coinciden con dataset UAT D09 (CA-25).;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;QA-5.5;Pruebas suplantacion contexto privilegios y auditoria;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;QA-5.5;Babooni;Pruebas suplantacion: contexto usuario destino no escalado privilegios y trazabilidad auditoria completa;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;QA-5.5;Tecnologia;Tests E2E/API suplantacion: contexto adopta rol destino sin permisos extra (CA-21).;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;QA-5.5;Tecnologia;Tests auditoria: fin suplantacion registra actor suplantado inicio/fin en log auditoria (CA-24).;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;BE-C1;Pruebas unitarias e integracion backend Fase II;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;BE-C1;Babooni;Pruebas unitarias e integracion: roles anonimizacion Informes CSV accesos externos suplantacion;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;BE-C1;Tecnologia;Tests unitarios e integracion BE ejecutados sin fallos en modulos Fase II (roles anonimizacion Informes accesos suplantacion).;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;BE-C1;Tecnologia;Tests integracion anonimizacion y suplantacion pasan en pipeline CI.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;BE-C2;Soporte plan de pruebas y correccion defectos backend;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;BE-C2;Babooni;Soporte plan de pruebas CA-01..CA-25 backend y correccion de defectos;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;BE-C2;Tecnologia;Defectos backend detectados en plan de pruebas corregidos y re-ejecutados antes de DEMO/PRO.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;BE-C3;Reporte cobertura Jacoco codigo nuevo;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;BE-C3;Babooni;Configuracion y reporte de cobertura Jacoco sobre codigo nuevo Fase II;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;BE-C3;Tecnologia;Reporte Jacoco generado con cobertura minima acordada sobre servicios nuevos Fase II.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;BE-C4;Ejecucion mutation testing Pitest;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;BE-C4;Babooni;Ejecucion Pitest sobre servicios nuevos Fase II;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;BE-C4;Tecnologia;Pitest ejecutado sobre servicios criticos Informes y anonimizacion sin mutaciones sobrevivientes bloqueantes.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;BE-C5;Documentacion tecnica y handover backend;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;BE-C5;Babooni;Documentacion tecnica y handover: servicios contratos API configuracion suplantacion;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;BE-C5;Tecnologia;Documentacion tecnica y handover revisados y aceptados por equipo de desarrollo.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;BE-C6;Creacion MR y despliegue entorno DEMO backend;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;BE-C6;Babooni;Creacion de MR + despliegue a entorno DEMO y verificacion backend;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;BE-C6;Tecnologia;Smoke tecnico DEMO backend: APIs Informes y accesos externos responden correctamente tras despliegue.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;BE-C7;Plan accion Produccion e implementacion backend;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;BE-C7;Babooni;Plan de accion a Produccion parte BE: pasos ventana rollback MR a master despliegue PRO;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;BE-C7;Tecnologia;Despliegue PRO backend ejecutado segun plan con rollback probado y health checks OK.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;FE-C1;Accesibilidad responsive y pruebas E2E flujos Fase II;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;FE-C1;Babooni;Accesibilidad responsive y E2E: Informes Inspector accesos externos suplantacion;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;FE-C1;Tecnologia;Tests E2E DEMO: flujos Informes Inspector accesos externos y suplantacion pasan sin errores.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;FE-C2;Soporte plan de pruebas y correccion defectos frontend;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;FE-C2;Babooni;Soporte plan de pruebas CA-01..CA-25 frontend y correccion de defectos;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;FE-C2;Tecnologia;Defectos frontend detectados en plan de pruebas corregidos y re-ejecutados antes de DEMO/PRO.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;FE-C3;Tests unitarios Karma Jasmine modulos Fase II;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;FE-C3;Babooni;Karma + Jasmine: Informes Inspector suplantacion y validaciones;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;FE-C3;Tecnologia;Suite Karma/Jasmine ejecutada sin fallos en componentes Informes Inspector y suplantacion.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;FE-C3;Tecnologia;Cobertura unitaria FE Fase II dentro del umbral acordado por el equipo.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;FE-C4;Pulido final y revision pre-PRO frontend;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;FE-C4;Babooni;Pulido final y revision de detalles antes de pase a PRO;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;FE-C4;Negocio;CA-05 - Pulido pre-PRO: colores compensacion y ordenacion tabla Informes conforme a funcional.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;FE-C5;Creacion MR y despliegue entorno DEMO frontend;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;FE-C5;Babooni;Creacion de MR + despliegue a entorno DEMO y verificacion frontend;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;FE-C5;Tecnologia;Smoke tecnico DEMO frontend: aplicacion arranca y modulos Fase II accesibles tras despliegue.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;FE-C6;Plan accion Produccion e implementacion frontend;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;FE-C6;Babooni;Plan de accion a Produccion parte FE: pasos ventana rollback MR a master despliegue PRO;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;FE-C6;Tecnologia;Despliegue PRO frontend ejecutado segun plan con rollback probado y health checks OK.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;TR-3;Hardening UAT correcciones y buffer cierre;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;TR-3;Babooni;Hardening y correcciones UAT buffer cierre golden CSV y ajustes post-validacion negocio;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;TR-3;Negocio;CA-01..CA-25 - Cierre UAT: dataset oficial D26 validado y criterios de aceptacion firmados por negocio sin defectos bloqueantes.;Tecnologia - Pendiente;;;
